Formula 1
DPLL: Time=0.0029 seconds, Nodes expanded=24
WalkSAT Run 1: Time=0.3781 seconds, Max satisfied=82
WalkSAT Run 2: Time=0.3719 seconds, Max satisfied=82
WalkSAT Run 3: Time=0.3617 seconds, Max satisfied=82
WalkSAT Run 4: Time=0.3554 seconds, Max satisfied=82
WalkSAT Run 5: Time=0.3548 seconds, Max satisfied=82
WalkSAT Run 6: Time=0.3578 seconds, Max satisfied=82
WalkSAT Run 7: Time=0.3539 seconds, Max satisfied=82
WalkSAT Run 8: Time=0.3549 seconds, Max satisfied=82
WalkSAT Run 9: Time=0.3589 seconds, Max satisfied=82
WalkSAT Run 10: Time=0.3540 seconds, Max satisfied=82
Genetic Run 1: Time=1.0508 seconds, Flips=83
Genetic Run 2: Time=1.0797 seconds, Flips=82
Genetic Run 3: Time=1.0694 seconds, Flips=82
Genetic Run 4: Time=1.0714 seconds, Flips=82
Genetic Run 5: Time=0.9999 seconds, Flips=83
Genetic Run 6: Time=1.0285 seconds, Flips=81
Genetic Run 7: Time=1.0818 seconds, Flips=82
Genetic Run 8: Time=0.9882 seconds, Flips=82
Genetic Run 9: Time=1.0702 seconds, Flips=83
Genetic Run 10: Time=1.0152 seconds, Flips=83

Formula 2
DPLL: Time=0.0037 seconds, Nodes expanded=27
WalkSAT Run 1: Time=0.3442 seconds, Max satisfied=82
WalkSAT Run 2: Time=0.3505 seconds, Max satisfied=82
WalkSAT Run 3: Time=0.3447 seconds, Max satisfied=81
WalkSAT Run 4: Time=0.3427 seconds, Max satisfied=82
WalkSAT Run 5: Time=0.3552 seconds, Max satisfied=82
WalkSAT Run 6: Time=0.3535 seconds, Max satisfied=81
WalkSAT Run 7: Time=0.3516 seconds, Max satisfied=82
WalkSAT Run 8: Time=0.3484 seconds, Max satisfied=81
WalkSAT Run 9: Time=0.3486 seconds, Max satisfied=81
WalkSAT Run 10: Time=0.3471 seconds, Max satisfied=82
Genetic Run 1: Time=0.9790 seconds, Flips=82
Genetic Run 2: Time=0.9842 seconds, Flips=81
Genetic Run 3: Time=0.9496 seconds, Flips=82
Genetic Run 4: Time=0.9474 seconds, Flips=83
Genetic Run 5: Time=0.9899 seconds, Flips=81
Genetic Run 6: Time=1.0001 seconds, Flips=81
Genetic Run 7: Time=0.9693 seconds, Flips=82
Genetic Run 8: Time=0.9956 seconds, Flips=82
Genetic Run 9: Time=1.0615 seconds, Flips=83
Genetic Run 10: Time=0.9945 seconds, Flips=83

Formula 3
DPLL: Time=0.0030 seconds, Nodes expanded=21
WalkSAT Run 1: Time=0.3536 seconds, Max satisfied=83
WalkSAT Run 2: Time=0.0053 seconds, Flips=84
WalkSAT Run 3: Time=0.3573 seconds, Max satisfied=81
WalkSAT Run 4: Time=0.3440 seconds, Max satisfied=82
WalkSAT Run 5: Time=0.3442 seconds, Max satisfied=83
WalkSAT Run 6: Time=0.3515 seconds, Max satisfied=82
WalkSAT Run 7: Time=0.3609 seconds, Max satisfied=81
WalkSAT Run 8: Time=0.3566 seconds, Max satisfied=81
WalkSAT Run 9: Time=0.3437 seconds, Max satisfied=82
WalkSAT Run 10: Time=0.3602 seconds, Max satisfied=81
Genetic Run 1: Time=1.0728 seconds, Flips=82
Genetic Run 2: Time=0.1008 seconds, Flips=84
Genetic Run 3: Time=1.0070 seconds, Flips=83
Genetic Run 4: Time=0.9963 seconds, Flips=83
Genetic Run 5: Time=1.0574 seconds, Flips=83
Genetic Run 6: Time=1.0553 seconds, Flips=83
Genetic Run 7: Time=0.0212 seconds, Flips=84
Genetic Run 8: Time=0.9918 seconds, Flips=82
Genetic Run 9: Time=1.0350 seconds, Flips=83
Genetic Run 10: Time=0.9897 seconds, Flips=83

Formula 4
DPLL: Time=0.0048 seconds, Nodes expanded=31
WalkSAT Run 1: Time=0.3647 seconds, Max satisfied=81
WalkSAT Run 2: Time=0.3561 seconds, Max satisfied=81
WalkSAT Run 3: Time=0.3662 seconds, Max satisfied=80
WalkSAT Run 4: Time=0.3552 seconds, Max satisfied=81
WalkSAT Run 5: Time=0.3630 seconds, Max satisfied=80
WalkSAT Run 6: Time=0.3589 seconds, Max satisfied=80
WalkSAT Run 7: Time=0.3573 seconds, Max satisfied=81
WalkSAT Run 8: Time=0.3566 seconds, Max satisfied=81
WalkSAT Run 9: Time=0.3600 seconds, Max satisfied=80
WalkSAT Run 10: Time=0.3609 seconds, Max satisfied=81
Genetic Run 1: Time=1.0307 seconds, Flips=82
Genetic Run 2: Time=1.0478 seconds, Flips=82
Genetic Run 3: Time=1.0334 seconds, Flips=81
Genetic Run 4: Time=1.0297 seconds, Flips=81
Genetic Run 5: Time=1.0071 seconds, Flips=80
Genetic Run 6: Time=1.0193 seconds, Flips=81
Genetic Run 7: Time=1.0702 seconds, Flips=81
Genetic Run 8: Time=1.0590 seconds, Flips=80
Genetic Run 9: Time=1.0353 seconds, Flips=80
Genetic Run 10: Time=1.0361 seconds, Flips=82

Formula 5
DPLL: Time=0.0023 seconds, Nodes expanded=19
WalkSAT Run 1: Time=0.3453 seconds, Max satisfied=82
WalkSAT Run 2: Time=0.3453 seconds, Max satisfied=83
WalkSAT Run 3: Time=0.3476 seconds, Max satisfied=83
WalkSAT Run 4: Time=0.3478 seconds, Max satisfied=83
WalkSAT Run 5: Time=0.3467 seconds, Max satisfied=83
WalkSAT Run 6: Time=0.3440 seconds, Max satisfied=83
WalkSAT Run 7: Time=0.3472 seconds, Max satisfied=83
WalkSAT Run 8: Time=0.3377 seconds, Max satisfied=82
WalkSAT Run 9: Time=0.3646 seconds, Max satisfied=82
WalkSAT Run 10: Time=0.3419 seconds, Max satisfied=82
Genetic Run 1: Time=1.0110 seconds, Flips=83
Genetic Run 2: Time=0.9660 seconds, Flips=81
Genetic Run 3: Time=1.0413 seconds, Flips=82
Genetic Run 4: Time=1.0541 seconds, Flips=81
Genetic Run 5: Time=0.9972 seconds, Flips=83
Genetic Run 6: Time=1.0246 seconds, Flips=83
Genetic Run 7: Time=0.9689 seconds, Flips=81
Genetic Run 8: Time=0.9967 seconds, Flips=83
Genetic Run 9: Time=1.0006 seconds, Flips=83
Genetic Run 10: Time=1.0081 seconds, Flips=82

Formula 6
DPLL: Time=0.0028 seconds, Nodes expanded=17
WalkSAT Run 1: Time=0.3562 seconds, Max satisfied=83
WalkSAT Run 2: Time=0.3547 seconds, Max satisfied=81
WalkSAT Run 3: Time=0.3508 seconds, Max satisfied=83
WalkSAT Run 4: Time=0.3508 seconds, Max satisfied=83
WalkSAT Run 5: Time=0.3516 seconds, Max satisfied=83
WalkSAT Run 6: Time=0.3482 seconds, Max satisfied=83
WalkSAT Run 7: Time=0.3512 seconds, Max satisfied=81
WalkSAT Run 8: Time=0.3504 seconds, Max satisfied=83
WalkSAT Run 9: Time=0.3565 seconds, Max satisfied=81
WalkSAT Run 10: Time=0.3529 seconds, Max satisfied=83
